Year,Month,Days,kWh,Transmission,Distribution,Customer,Generation per kWh,Generation,Bill Total,AvgTemp,,
2019,4,, 653 ,,,,,,,39,,
2019,5,30, 701 ,,,,,, $88.09 ,56,,
2019,6,32, 903 ,,,,,, $107.80 ,64,,
2019,7,29, 981 ,,,,,, $114.30 ,71,,
2019,8,30," 1,499 ",,,,,, $168.50 ,77,,
2019,9,29," 1,075 ",,,,,, $125.11 ,73,,
2019,10,32," 1,268 ",,,,,, $149.13 ,71,,
2019,11,29, 721 ,,,,,, $90.15 ,56,,
2019,12,33, 702 ,,,,,, $89.20 ,38,,
2020,1,32, 822 ,,,,,, $101.43 ,37,,
2020,2,31, 798 ,,,,,, $98.19 ,35,,
2020,3,29, 723 ,,,,,, $91.25 ,34,,
2020,4,29, 794 ,,,,,, $104.22 ,46,,
2020,5,30, 943 ,,,,,, $121.42 ,49,,
2020,6,32," 1,105 ",,,,,, $131.15 ,60,,
2020,7,29," 1,529 ",,,,,, $180.26 ,73,,
2020,8,30," 1,807 ",,,,,, $211.44 ,79,,
2020,9,31," 1,588 ",,,,,, $188.11 ,74,,
2020,10,30," 1,241 ",,,,,, $155.11 ,66,,
2020,11,29, 836 ,,,,,, $108.97 ,55,,
2020,12,33," 1,110 ",,,,,, $140.75 ,46,,
2021,1,34," 1,359 ",,,,,, $162.63 ,35,,
2021,2,29," 1,170 ",,,,,, $142.13 ,31,,
2021,3,29," 1,224 ",,,,,, $148.15 ,28,,
2021,4,29, 956 ,,,,,, $124.46 ,46,,
2021,5,32," 1,022 ", $29.93 , $42.25 , $8.40 ,0.050283757, $51.39 , $131.97 ,54,,
2021,6,30," 1,137 ", $33.30 , $46.80 , $8.40 ,0.053588391, $60.93 , $149.43 ,61,,
2021,7,29," 1,459 ", $42.73 , $56.47 , $8.40 ,0.05499, $80.23 , $187.83 ,73,,
2021,8,32," 1,697 ", $49.70 , $64.59 , $8.40 ,0.05499, $93.32 , $216.01 ,74,,
2021,9,29," 1,730 ", $50.66 , $67.20 , $8.40 ,0.05499, $95.13 , $221.39 ,76,,
2021,10,30," 1,428 ", $41.82 , $56.46 , $8.40 ,0.05499, $78.53 , $185.21 ,68,,
2021,11,29," 1,055 ", $30.90 , $43.54 , $8.40 ,0.05499, $58.01 , $140.85 ,62,,
2021,12,33," 1,241 ", $36.34 , $51.50 , $10.00 ,0.05499, $68.24 , $166.08 ,42,,
2022,1,34," 1,445 ", $42.32 , $58.91 , $10.00 ,0.05499, $79.46 , $190.69 ,40,,
2022,2,29," 1,088 ", $31.86 , $45.22 , $10.00 ,0.05499, $59.83 , $146.91 ,24,,
2022,3,29," 1,148 ", $33.62 , $47.46 , $10.00 ,0.05499, $63.13 , $154.21 ,33,,
2022,4,29," 1,146 ", $35.66 , $48.15 , $10.00 ,0.05499, $63.02 , $156.83 ,45,,
2022,5,32," 1,026 ", $31.93 , $43.52 , $10.00 ,0.05499, $56.42 , $141.87 ,51,,
2022,6,30," 1,154 ", $35.91 , $48.84 , $10.00 ,0.05499, $63.46 , $158.21 ,67,,
2022,7,29," 1,250 ", $38.90 , $51.89 , $10.00 ,0.07884, $98.55 , $199.34 ,72,,
